Date,NVDA,Nasdaq,AMD,META,GOOGL,GOOG,TSLA,MSFT,AMZN,AAPL,INTC,AVGO
2023-01-03,14.302286148071289,10386.98046875,64.0199966430664,124.05940246582031,88.58870697021484,89.16995239257812,108.0999984741211,234.80894470214844,85.81999969482422,123.47061920166016,25.775142669677734,53.11102294921875
2023-01-04,14.735899925231934,10458.759765625,64.66000366210938,126.67506408691406,87.55490112304688,88.1858139038086,113.63999938964844,224.5376739501953,85.13999938964844,124.7441177368164,26.691205978393555,53.75969314575195
2023-01-05,14.252331733703613,10305.240234375,62.33000183105469,126.24739837646484,85.68611145019531,86.25727081298828,110.33999633789062,217.8828582763672,83.12000274658203,123.42125701904297,26.57549285888672,53.258792877197266
2023-01-06,14.845804214477539,10569.2900390625,63.959999084472656,129.3105926513672,86.81930541992188,87.63906860351562,113.05999755859375,220.45068359375,86.08000183105469,127.9624252319336,27.70370101928711,56.46475601196289
2023-01-09,15.61412239074707,10635.650390625,67.23999786376953,128.76361083984375,87.49525451660156,88.27527618408203,119.7699966430664,222.59707641601562,87.36000061035156,128.48565673828125,28.262981414794922,55.357398986816406
2023-01-10,15.89487075805664,10742.6298828125,68.05000305175781,132.26438903808594,87.89287567138672,88.71267700195312,118.8499984741211,224.29263305664062,89.87000274658203,129.05821228027344,28.38833999633789,55.16932678222656
2023-01-11,15.986788749694824,10931.669921875,69.05999755859375,132.16494750976562,90.9743881225586,91.71483612060547,123.22000122070312,231.0748291015625,95.08999633789062,131.78294372558594,28.783693313598633,55.47734832763672
2023-01-12,16.496334075927734,11001.099609375,70.80000305175781,135.96409606933594,90.58670806884766,91.36690521240234,123.55999755859375,233.76023864746094,95.2699966430664,131.70394897460938,29.207975387573242,55.84199142456055
2023-01-13,16.88399314880371,11079.16015625,71.0,136.23263549804688,91.57081604003906,92.25164794921875,122.4000015258789,234.46591186523438,98.12000274658203,133.03671264648438,29.034406661987305,55.55987548828125
2023-01-17,17.686277389526367,11095.1103515625,71.58999633789062,134.6214599609375,90.74576568603516,91.61543273925781,131.49000549316406,235.5635986328125,96.05000305175781,134.20159912109375,28.54262351989746,55.58290100097656
2023-01-18,17.361568450927734,10957.009765625,70.52999877929688,132.29425048828125,90.5767822265625,91.23766326904297,128.77999877929688,231.11399841308594,95.45999908447266,133.48097229003906,27.780841827392578,55.107913970947266
2023-01-19,16.75010871887207,10852.26953125,67.70999908447266,135.40713500976562,92.49527740478516,93.35509490966797,127.16999816894531,227.311279296875,93.68000030517578,133.5402069091797,27.404773712158203,54.0456428527832
2023-01-20,17.823156356811523,11140.4296875,70.06999969482422,138.6095733642578,97.43563842773438,98.69335174560547,133.4199981689453,235.4362030029297,97.25,136.10693359375,28.17619514465332,54.771095275878906
2023-01-23,19.17595672607422,11364.41015625,76.52999877929688,142.48829650878906,99.19509887695312,100.61194610595703,143.75,237.74920654296875,97.5199966430664,139.30551147460938,29.188692092895508,55.8122444152832
2023-01-24,19.247888565063477,11334.26953125,74.69999694824219,142.35897827148438,97.1175537109375,98.6237564086914,143.88999938964844,237.219970703125,96.31999969482422,140.7073211669922,28.851192474365234,56.13850784301758
2023-01-25,19.30584144592285,11313.3603515625,74.91000366210938,140.72796630859375,94.65234375,96.1584243774414,144.42999267578125,235.8184051513672,97.18000030517578,140.04591369628906,28.639047622680664,56.20087814331055
2023-01-26,19.78441619873047,11512.41015625,75.16000366210938,146.49632263183594,96.9386215209961,98.5740737915039,160.27000427246094,243.06129455566406,99.22000122070312,142.1190948486328,29.015119552612305,57.43873596191406
2023-01-27,20.346912384033203,11621.7099609375,75.4000015258789,150.91207885742188,98.77760314941406,100.11489868164062,177.89999389648438,243.21810913085938,102.23999786376953,144.0638427734375,27.15406036376953,56.71041488647461
2023-01-30,19.144981384277344,11393.8095703125,72.44999694824219,146.2576141357422,96.36209106445312,97.37120056152344,166.66000366210938,237.8766326904297,100.55000305175781,141.1713409423828,26.95156478881836,55.79497528076172
2023-01-31,19.519649505615234,11584.5498046875,75.1500015258789,148.15721130371094,98.2507553100586,99.27987670898438,173.22000122070312,242.87506103515625,103.12999725341797,142.44482421875,27.250490188598633,56.1365852355957
2023-02-01,20.924402236938477,11816.3203125,84.63999938964844,152.2845458984375,99.83128356933594,100.83064270019531,181.41000366210938,247.7166748046875,105.1500015258789,143.5702362060547,28.03155517578125,57.83888244628906
2023-02-02,21.689722061157227,12200.8203125,88.30999755859375,187.74005126953125,107.09769439697266,108.15709686279297,188.27000427246094,259.3306579589844,112.91000366210938,148.89134216308594,29.111547470092773,58.128684997558594
2023-02-03,21.081260681152344,12006.9501953125,86.08999633789062,185.51226806640625,104.15534210205078,104.59825897216797,189.97999572753906,253.20516967773438,103.38999938964844,152.52427673339844,29.236902236938477,57.346622467041016
2023-02-06,21.070270538330078,11887.4501953125,83.68000030517578,185.04483032226562,102.28656005859375,102.85859680175781,194.75999450683594,251.6566162109375,102.18000030517578,149.78968811035156,28.002227783203125,57.699745178222656
2023-02-07,22.153308868408203,12113.7900390625,85.91000366210938,190.5745086669922,106.99828338623047,107.40159606933594,196.80999755859375,262.2317199707031,102.11000061035156,152.67233276367188,28.353595733642578,58.96159362792969
2023-02-08,22.185277938842773,11910.51953125,84.69000244140625,182.42918395996094,98.77760314941406,99.40909576416016,201.2899932861328,261.41827392578125,100.05000305175781,149.97726440429688,27.563013076782227,57.73908615112305
